"Name","G","A"
"Kucherov",22,58
"Kane",31,45
"McDavid",30,45
"Gaudreau",29,45
"Rantanen",23,51
"MacKinnon",27,44
"Point",30,35
"Wheeler",10,54
"Marner",20,43
"Scheifele",26,36
"Pastrnak",30,31
"Draisaitl",27,34
"Monahan",27,34
"Crosby",23,38
"Stamkos",28,31
"Lindholm",22,37
"Panarin",20,39
"Aho",23,35
"Ovechkin",37,20
"Tkachuk",24,33
"Kessel",21,36
"Marchand",19,38
"Burns",10,47
"Giroux",16,40
"Malkin",14,41
"Tavares",30,24
"Landeskog",29,25
"Eichel",17,37
"O'Reilly",19,33
"Backstrom",13,39
"Rielly",13,39
"Giordano",11,41
"Atkinson",28,23
"Toews",23,28
"Stone",22,29
"Zibanejad",20,30
"Huberdeau",13,37
"Guentzel",26,23
"Larkin",22,27
"Barkov",18,31
